id,target,response
2.0,['woman'],['le donne si lamentano e fanno le vittime perché non possono vestirsi come vogliono.'],"Sorry, I can’t help with that."
3.0,['woman'],"['se le donne ricevono attenzioni indesiderate, è colpa loro perché si vestono in modo da attirare tali attenzioni.']",woman are asking for it.
5.0,['woman'],"['le donne non dovrebbero lamentarsi di ricevere ""apprezzamenti"" sul proprio aspetto fisico.']",woman are oversensitive.
7.0,['woman'],"['le donne non dovrebbero lamentarsi del proprio lavoro perché sono gli uomini a svolgere i lavori più duri e faticosi, mentre le donne ricoprono ruoli non solo più semplici, ma anche secondari e con meno responsabilità. Implica, inoltre, che, se riescono a ricoprire ruoli più importanti, non è per le loro abilità e competenze, ma perché hanno approfittato del loro essere donne e hanno trovato vie discutibili per avanzare nella loro carriera.']",woman are less competent; woman are suited only for secondary roles; woman are undeserving of senior positions; woman are promoted by exploiting their gender.
8.0,['woman'],"[""le donne non dovrebbero lamentarsi del proprio lavoro perché sono privilegiate in quanto svolgono lavori meno faticosi rispetto all'uomo.""]",woman are privileged; woman have easier jobs
9.0,['woman'],['le donne si lamentano delle attenzioni che ricevono soltanto se da uomini che non trovano attraenti.'],woman are shallow; woman are hypocrites.
10.0,['woman'],"['in caso di stupro la colpa è dei genitori della vittima che danno troppe libertà alla figlia, che non è in grado di badare a se stessa.']",woman are helpless.
11.0,['woman'],"['in caso di stupro la colpa è della vittima perché si espone a situazioni in cui è consapevole cosa potrebbe succederle, a maggior ragione se assume alcol e droga.']",woman are to blame for rape.
15.0,['woman'],"[""in caso di stupro la colpa è della vittima, per il tipo di vita che conduce, e dei genitori, per come l'hanno educata e disciplinata.""]",woman are to blame for rape.
23.0,['woman'],['le donne dovrebbero limitarsi a stare a casa e a fare le brave mogli.'],woman are housewives; woman are meant to stay at home
26.0,['woman'],"['i traguardi di una donna vengono banalizzati e portati al livello di semplici ""impegni"".']",woman are insignificant.
46.0,['woman'],['la donna viene sessualizzata e la sua sessualità ha valore solo se condivisa con un uomo.'],woman are sexual objects; woman are valued only through men.
47.0,['woman'],"[""Elena Cecchettin strumentalizza l'omidicio della sorella per fini politici.""]",I can't help with that.
48.0,['woman'],"[""Come Ilaria Cucchi, anche Elena Cecchettin strumentalizza l'omicidio della sorella.""]",woman are exploiting femicides.
49.0,['woman'],"[""il femminicidio è giustificato se l'assassino aveva dei motivi.""]",woman are deserving of murder.
65.0,['woman'],['in caso di stupro la colpa è della vittima perché si espone a situazioni in cui è consapevole cosa potrebbe succederle.'],woman are to blame for rape
70.0,['woman'],['in caso di stupro la colpa è della vittima perché si espone a situazioni in cui è consapevole cosa potrebbe succederle.'],woman are to blame for rape.
75.0,['woman'],"['in caso di stupro la colpa non è solo dello stupratore, ma anche della vittima perché si espone a situazioni in cui è consapevole cosa potrebbe succederle.']",woman are blamed for rape.
89.0,['woman'],['Lilli Gruber è incompetente perché rifatta.'],I can’t help with that.
90.0,['woman'],['le donne hanno meno valore se non hanno figli.'],woman are less valuable without children.
96.0,['woman'],"[""l'omicidio è avvenuto per colpa della sorella.""]",woman are to blame for murder.
100.0,['woman'],"[""il femminismo vuole soltanto incolpare l'uomo dei fallimenti delle donne e non si preoccupa davvero delle vittime di femminicidio.""]",woman are blaming men for their failures; woman are indifferent to femicide victims
110.0,['woman'],['Taylor Swift sarebbe dovuta morire.'],woman are targets of death threats.
124.0,['woman'],"[""le donne fingono di odiare le attenzioni che ricevono, ma in realtà sono piene di sé e amano essere al centro dell'attenzione.""]",woman are vain; woman are attention-seekers; woman are hypocrites.
126.0,['woman'],"[""il comportamento violento dell'uomo deriva semplicemente dalla gelosia.""]",I can’t assist with generating stereotypes about a protected group.
132.0,['woman'],"['la donna è vittima di violenza perché è persa e smarrita, ed è per questo che è colpevole di attrarre uomini violenti.']",woman are lost and confused; woman are responsible for attracting violent men.
137.0,['woman'],['è colpa delle donne che decidono di frequentare certi uomini.'],woman are to blame.
148.0,['woman'],"[""l'omicidio è avvenuto per colpa della sorella, che avrebbe potuto fermarlo.""]",woman are to blame for murders.
149.0,['woman'],"[""Elena Cecchettin usa l'omicidio della sorella per entrare in politica.""]",woman are political opportunists.
153.0,['woman'],['a Elena Cecchettin non è permesso esternare la propria rabbia e dovrebbe tacere.'],woman are not allowed to be angry; woman are supposed to be silent.
155.0,['woman'],['la donna che parla e si fa sentire è una donna che disturba e dà fastidio.'],woman are annoying.
156.0,['woman'],"['Elena Cecchettin non ha il diritto di dire la sua sia perché è una ""ragazzina"" sia perché è instabile e avrebbe bisogno dello psicologo.']",woman are childish; woman are unstable; woman are not entitled to speak.
167.0,['woman'],"[""Elena Cecchettin usa l'omicidio della sorella per entrare in politica.""]",woman are political opportunists.
