id,text,text_implied,target,stereotype,lingua,dataset_name
1.0,"Ecco come mi tocca vivere in quanto donna: per uscire la notte a piedi devo vestirmi così. Felpa larga, pantaloni della tuta, tutta coperta! Non una menna di fuori! L'altra notte un tizio mi ha guardata per due secondi. Questa non è vita! Agli uomini basta dire una parola sbagliata al momento sbagliato per prendere botte",['le donne sono violente.'],['woman'],[],it,dataset_women_implied
2.0,"Ecco come mi tocca vivere in quanto donna: per uscire la notte a piedi devo vestirmi così. Felpa larga, pantaloni della tuta, tutta coperta! Non una menna di fuori! L'altra notte un tizio mi ha guardata per due secondi. Questa non è vita! No menna fuori = ho bizogno eutanasia perke vita non a senzo",['le donne si lamentano e fanno le vittime perché non possono vestirsi come vogliono.'],['woman'],[],it,dataset_women_implied
3.0,"Ecco come mi tocca vivere in quanto donna: per uscire la notte a piedi devo vestirmi così. Felpa larga, pantaloni della tuta, tutta coperta! Non una menna di fuori! L'altra notte un tizio mi ha guardata per due secondi. Questa non è vita! ""assurdo che riceva apprezzamenti per essermi vestita in modo da ricevere apprezzamenti!""","['se le donne ricevono attenzioni indesiderate, è colpa loro perché si vestono in modo da attirare tali attenzioni.']",['woman'],[],it,dataset_women_implied
5.0,"Nono ormai non faccio la cameriera. Mi ripetevano ' sei bellissima' in continuazione, era terribile. A me dicono sempre che sono un cesso. Evidentemente sono un uomo fortunato","['le donne non dovrebbero lamentarsi di ricevere ""apprezzamenti"" sul proprio aspetto fisico.']",['woman'],[],it,dataset_women_implied
7.0,"Nono ormai non faccio la cameriera. Mi ripetevano ' sei bellissima' in continuazione, era terribile. E vogliamo pensare a quelle poverette che ricevono attenzioni dai loro principali svolgendo quei lavori duri e mortificanti quali per esempio segretaria o assistente alla poltrona? E pensiamo a che fortuna hanno invece gli uomini a stare sempre tra di loro...in miniera, in cantieri stradali a mezzogiorno di un giorno d'estate, su delle altissime impalcature, ecc... P.S. però non ho mai capito come facciano certe, da ultime ruote del carro, ad arrivare in poco tempo ai piani alti di un'azienda...boh, avranno un cv di tutto rispetto...","['le donne non dovrebbero lamentarsi del proprio lavoro perché sono gli uomini a svolgere i lavori più duri e faticosi, mentre le donne ricoprono ruoli non solo più semplici, ma anche secondari e con meno responsabilità. Implica, inoltre, che, se riescono a ricoprire ruoli più importanti, non è per le loro abilità e competenze, ma perché hanno approfittato del loro essere donne e hanno trovato vie discutibili per avanzare nella loro carriera.']",['woman'],[],it,dataset_women_implied
8.0,"Nono ormai non faccio la cameriera. Mi ripetevano ' sei bellissima' in continuazione, era terribile. Finché lo Zappare la terra non verrà nemmeno preso lontanamente in considerazione come un Lavoro da loro, hai voglia a dirle che sono delle Brivilegiate","[""le donne non dovrebbero lamentarsi del proprio lavoro perché sono privilegiate in quanto svolgono lavori meno faticosi rispetto all'uomo.""]",['woman'],[],it,dataset_women_implied
9.0,"Hey, misogino! Smettila di fissarmi in modo molesto mentre scuoto il mio posteriore sotto il tuo naso per fare un video femministoide su tiktok se la guarda chad invece gli dà il numero",['le donne si lamentano delle attenzioni che ricevono soltanto se da uomini che non trovano attraenti.'],['woman'],[],it,dataset_women_implied
10.0,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me» Era meglio se a 20 anni se le tenevano in casa le figlie! No. Con gente sconosciuta...pure straniera...a 200 km da casa...ma per favore!","['in caso di stupro la colpa è dei genitori della vittima che danno troppe libertà alla figlia, che non è in grado di badare a se stessa.']",['woman'],[],it,dataset_women_implied
11.0,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me» Sinceramente non mi fa pena alla fine della storia sempre alcol e droga (non in questo caso) questi giovani devono trovare altre strade per divertirsi.","['in caso di stupro la colpa è della vittima perché si espone a situazioni in cui è consapevole cosa potrebbe succederle, a maggior ragione se assume alcol e droga.']",['woman'],[],it,dataset_women_implied
12.0,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me» La prossima volta andate dove ce piu magrebini e bevete ancora di piu . Assurde ste cose delle volte non capisco come fanno a succedere bho.","['in caso di stupro la colpa è della vittima perché si espone a situazioni in cui è consapevole cosa potrebbe succederle, soprattutto se ci sono anche persone straniere.']",['woman'],[],it,dataset_women_implied
15.0,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me» Nessuna pieta' scegliete questi modelli di vita questo ricevete.e.la colpa e' dei genitori perbenisti e buonisti zero educazione zero disciplina zero cultura i risultati sono questo","[""in caso di stupro la colpa è della vittima, per il tipo di vita che conduce, e dei genitori, per come l'hanno educata e disciplinata.""]",['woman'],[],it,dataset_women_implied
20.0,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me» Sempre da condannare questi schifosi animali ... Ma ste ragazze quando si svegliano? Che si aspettavano in piena notte da un gruppo di deficienti con gli ormoni a palla?","['in caso di stupro, la colpa non è soltanto dello stupratore, ma anche della vittima perché si espone a situazioni in cui è consapevole cosa potrebbe succederle, soprattutto se ci sono ragazzi che non sono in grado di controllare i propri istinti.']",['woman'],[],it,dataset_women_implied
