id,source,main_post,text,Implied,label,span 1,span 2,span 3,span 4
1,La matita scarlatta,"Ecco come mi tocca vivere in quanto donna: per uscire la notte a piedi devo vestirmi così. Felpa larga, pantaloni della tuta, tutta coperta! Non una menna di fuori! L'altra notte un tizio mi ha guardata per due secondi. Questa non è vita!",Agli uomini basta dire una parola sbagliata al momento sbagliato per prendere botte,le donne sono violente.,"double standard, stereotype generalization",Agli uomini basta dire una parola sbagliata al momento sbagliato per prendere botte,Agli uomini basta dire una parola sbagliata al momento sbagliato per prendere botte,,
2,La matita scarlatta,"Ecco come mi tocca vivere in quanto donna: per uscire la notte a piedi devo vestirmi così. Felpa larga, pantaloni della tuta, tutta coperta! Non una menna di fuori! L'altra notte un tizio mi ha guardata per due secondi. Questa non è vita!",No menna fuori = ho bizogno eutanasia perke vita non a senzo,le donne si lamentano e fanno le vittime perché non possono vestirsi come vogliono.,mocking,No menna fuori = ho bizogno eutanasia perke vita non a senzo,,,
3,La matita scarlatta,"Ecco come mi tocca vivere in quanto donna: per uscire la notte a piedi devo vestirmi così. Felpa larga, pantaloni della tuta, tutta coperta! Non una menna di fuori! L'altra notte un tizio mi ha guardata per due secondi. Questa non è vita!","""assurdo che riceva apprezzamenti per essermi vestita in modo da ricevere apprezzamenti!""","se le donne ricevono attenzioni indesiderate, è colpa loro perché si vestono in modo da attirare tali attenzioni.","mocking, stereotype generalization","""assurdo che riceva apprezzamenti per essermi vestita in modo da ricevere apprezzamenti!""","""assurdo che riceva apprezzamenti per essermi vestita in modo da ricevere apprezzamenti!""",,
4,La matita scarlatta,"Ecco come mi tocca vivere in quanto donna: per uscire la notte a piedi devo vestirmi così. Felpa larga, pantaloni della tuta, tutta coperta! Non una menna di fuori! L'altra notte un tizio mi ha guardata per due secondi. Questa non è vita!",COME FACCIO SENZA MENNE DI FUORA ,,mocking,COME FACCIO SENZA MENNE DI FUORA,,,
5,La matita scarlatta,"Nono ormai non faccio la cameriera. Mi ripetevano ' sei bellissima' in continuazione, era terribile.",A me dicono sempre che sono un cesso. Evidentemente sono un uomo fortunato,"le donne non dovrebbero lamentarsi di ricevere ""apprezzamenti"" sul proprio aspetto fisico.",mocking,A me dicono sempre che sono un cesso. Evidentemente sono un uomo fortunato,,,
6,La matita scarlatta,"Nono ormai non faccio la cameriera. Mi ripetevano ' sei bellissima' in continuazione, era terribile.",Questo è il vero gender gap.,,rejection of feminism,Questo è il vero gender gap.,,,
7,La matita scarlatta,"Nono ormai non faccio la cameriera. Mi ripetevano ' sei bellissima' in continuazione, era terribile.","E vogliamo pensare a quelle poverette che ricevono attenzioni dai loro principali svolgendo quei lavori duri e mortificanti quali per esempio segretaria o assistente alla poltrona? E pensiamo a che fortuna hanno invece gli uomini a stare sempre tra di loro...in miniera, in cantieri stradali a mezzogiorno di un giorno d'estate, su delle altissime impalcature, ecc... P.S. però non ho mai capito come facciano certe, da ultime ruote del carro, ad arrivare in poco tempo ai piani alti di un'azienda...boh, avranno un cv di tutto rispetto...","le donne non dovrebbero lamentarsi del proprio lavoro perché sono gli uomini a svolgere i lavori più duri e faticosi, mentre le donne ricoprono ruoli non solo più semplici, ma anche secondari e con meno responsabilità. Implica, inoltre, che, se riescono a ricoprire ruoli più importanti, non è per le loro abilità e competenze, ma perché hanno approfittato del loro essere donne e hanno trovato vie discutibili per avanzare nella loro carriera.","mocking, derogatory and belittling, double standard","E vogliamo pensare a quelle poverette che ricevono attenzioni dai loro principali svolgendo quei lavori duri e mortificanti quali per esempio segretaria o assistente alla poltrona? E pensiamo a che fortuna hanno invece gli uomini a stare sempre tra di loro...in miniera, in cantieri stradali a mezzogiorno di un giorno d'estate, su delle altissime impalcature, ecc... P.S. però non ho mai capito come facciano certe, da ultime ruote del carro, ad arrivare in poco tempo ai piani alti di un'azienda...boh, avranno un cv di tutto rispetto...","quelle poverette che ricevono attenzioni dai loro principali svolgendo quei lavori duri e mortificanti quali per esempio segretaria o assistente alla poltrona?, P.S. però non ho mai capito come facciano certe, da ultime ruote del carro, ad arrivare in poco tempo ai piani alti di un'azienda...boh, avranno un cv di tutto rispetto...",segretaria o assistente alla poltrona,
8,La matita scarlatta,"Nono ormai non faccio la cameriera. Mi ripetevano ' sei bellissima' in continuazione, era terribile.","Finché lo Zappare la terra non verrà nemmeno preso lontanamente in considerazione come un Lavoro da loro, hai voglia a dirle che sono delle Brivilegiate",le donne non dovrebbero lamentarsi del proprio lavoro perché sono privilegiate in quanto svolgono lavori meno faticosi rispetto all'uomo.,"mocking, gender distinction, stereotype generalization",Brivilegiate,Finché lo Zappare la terra non verrà nemmeno preso lontanamente in considerazione come un Lavoro da loro,Finché lo Zappare la terra non verrà nemmeno preso lontanamente in considerazione come un Lavoro da loro,
9,La matita scarlatta,"Hey, misogino! Smettila di fissarmi in modo molesto mentre scuoto il mio posteriore sotto il tuo naso per fare un video femministoide su tiktok",se la guarda chad invece gli dà il numero,le donne si lamentano delle attenzioni che ricevono soltanto se da uomini che non trovano attraenti.,,,,,
10,AnconaToday,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me»",Era meglio se a 20 anni se le tenevano in casa le figlie! No. Con gente sconosciuta...pure straniera...a 200 km da casa...ma per favore!,"in caso di stupro la colpa è dei genitori della vittima che danno troppe libertà alla figlia, che non è in grado di badare a se stessa.",,,,,
