id,text,text_implied,target,stereotype,lingua,dataset_name
1,""" rt  """" white privilege """" """" is when the gun jams of the gang banger trying to kill you . #fergusonoctober """"""",['people in minority groups are all in gangs'],['minority groups'],[],en,implicit_hate_v1_stg3_posts
2,""" rt  """" white privilege """" """" is when the gun jams of the gang banger trying to kill you . #fergusonoctober """"""",['Black people are violent'],['Black people'],[],en,implicit_hate_v1_stg3_posts
3,if you are white in that state watch yourself !,['non-white people are dangerous'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
4,if you are white in that state watch yourself !,['White people are in danger.'],['white people'],[],en,implicit_hate_v1_stg3_posts
5,so the 500 % increase in h1b visas ? yeah i'm sure that will win over voters .,['Immigrants are undesirable'],['Immigrants'],[],en,implicit_hate_v1_stg3_posts
6,""" rt antiwhites expose their hatred of white kids after seeing this picture . white child =  """" white supremacy """" """" """"""",['Anti-whites hate white people'],['Anti-whites'],[],en,implicit_hate_v1_stg3_posts
7,""" rt antiwhites expose their hatred of white kids after seeing this picture . white child =  """" white supremacy """" """" """"""",['Progressives despise whites.'],['Progressives'],[],en,implicit_hate_v1_stg3_posts
8,capitalism  like communism  is an enemy of the white race .,"[""Capitalists don't like white people.""]",['Capitalists'],[],en,implicit_hate_v1_stg3_posts
9,capitalism  like communism  is an enemy of the white race .,['Communists are threatening the white race.'],['Communists'],[],en,implicit_hate_v1_stg3_posts
10,dems have also invented a vast black / white right wing nationalist uncle tom conspiracy  a 1000 legged centipede monster,['Democrats are manipulative liars.'],['Democrats'],[],en,implicit_hate_v1_stg3_posts
11,""" more anti-jew hate from  """" nothing to do with islam """" """" """"""",['Islamists hate Jews'],['Islamists'],[],en,implicit_hate_v1_stg3_posts
12,""" more anti-jew hate from  """" nothing to do with islam """" """" """"""",['Muslims are anti-jews'],['Muslims'],[],en,implicit_hate_v1_stg3_posts
13,""" more anti-jew hate from  """" nothing to do with islam """" """" """"""",['Muslims are anti-Jewish'],['Muslims'],[],en,implicit_hate_v1_stg3_posts
14,pakistani sex-gang attacks covered up for fear of racism #swrm via,['Pakistani people are dangerous.'],['Pakistani people'],[],en,implicit_hate_v1_stg3_posts
15,pakistani sex-gang attacks covered up for fear of racism #swrm via,['Pakistanis are rapists'],['Pakistanis'],[],en,implicit_hate_v1_stg3_posts
16,""" rt :  """" black lives matter & antifa can show up with mace  acid & baseball bats """" """" .. while your far right romp u """"""",['BLM is violent.'],['BLM'],[],en,implicit_hate_v1_stg3_posts
17,""" rt :  """" black lives matter & antifa can show up with mace  acid & baseball bats """" """" .. while your far right romp u """"""",['Black people are dangerous'],['Black people'],[],en,implicit_hate_v1_stg3_posts
18,yo  c'mon back you little illegal aliens . we still got lots of us-born suckers we can smash out of line to make room,['Immigrants are inferior'],['Immigrants'],[],en,implicit_hate_v1_stg3_posts
19,yo  c'mon back you little illegal aliens . we still got lots of us-born suckers we can smash out of line to make room,['Immigrants are illegally in this country'],['Immigrants'],[],en,implicit_hate_v1_stg3_posts
20,in white power by rockwell  chapter called : nightmare  is coming true ! all out black on white war ! prepare now !,['White people are better than other races.'],['white people'],[],en,implicit_hate_v1_stg3_posts
21,in white power by rockwell  chapter called : nightmare  is coming true ! all out black on white war ! prepare now !,['Black people are aggressors'],['Black people'],[],en,implicit_hate_v1_stg3_posts
22,soon  white people will not be a majority anywhere . you believe,['Minorities want to take over the world.'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
23,populist = american . so racist is code for anti-white  populist = american . as opposed to rentier transients .,['racism towards whites'],['whites'],[],en,implicit_hate_v1_stg3_posts
24,good ! man i'd hate to be a native born white in any of those cities .,['White people are in trouble.'],['white people'],[],en,implicit_hate_v1_stg3_posts
25,good ! man i'd hate to be a native born white in any of those cities .,['Minorities are overrunning the cities.'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
26,it is like calling people a witch . one day white people won't fall for it,['White people are too smart to be fooled.'],['White people'],[],en,implicit_hate_v1_stg3_posts
27,it is like calling people a witch . one day white people won't fall for it,['Minorities are dishonest'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
28,i like is explicitly pro-white . they are polite about it but they are pro-white . is also a good group .,['Minorities are substandard people'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
29,i like is explicitly pro-white . they are polite about it but they are pro-white . is also a good group .,['White people are friendly.'],['white people'],[],en,implicit_hate_v1_stg3_posts
30,do you disavow all of these ? btw there's tons for every other race too besides blacks . if you don't disavow all of these you're anti-white,['Whites are racists'],['Whites'],[],en,implicit_hate_v1_stg3_posts
31,do you disavow all of these ? btw there's tons for every other race too besides blacks . if you don't disavow all of these you're anti-white,['Minorities hold double standards'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
32,""" hate crime hoax in austria : muslims set fire to their own business and leave  """" racist """" """" graffiti to mislead inve ... """"""",['Muslims are violent.'],['Muslims'],[],en,implicit_hate_v1_stg3_posts
33,""" hate crime hoax in austria : muslims set fire to their own business and leave  """" racist """" """" graffiti to mislead inve ... """"""",['Muslims are devious'],['Muslims'],[],en,implicit_hate_v1_stg3_posts
34,you can't be pro white and pro jew  jews will hate you . but you can be pro jew and anti white and jews will adore you !,['Jews hate white people.'],['Jews'],[],en,implicit_hate_v1_stg3_posts
35,you can't be pro white and pro jew  jews will hate you . but you can be pro jew and anti white and jews will adore you !,['Jews hate whites'],['Jews'],[],en,implicit_hate_v1_stg3_posts
36,yes you are fine in a white majority country . how is mexico doing these days ? you people come here because you couldn't build it .,['White people can do more than Mexicans.'],['white people'],[],en,implicit_hate_v1_stg3_posts
37,yes you are fine in a white majority country . how is mexico doing these days ? you people come here because you couldn't build it .,['Mexicans are incompetent.'],['Mexicans'],[],en,implicit_hate_v1_stg3_posts
38,white identity is timelesa,['non-white people are inferior'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
39,do you think those bars on the windows are to keep out all the white people ?,['White people are dangerous.'],['white people'],[],en,implicit_hate_v1_stg3_posts
40,do you think those bars on the windows are to keep out all the white people ?,['Minorities are criminals.'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
41,""" oh yeah thats not white geocide at all . not anti white racist at all . imagine saying  """" raising black families is dangerous . """" """" """" """" ali families . """" """" """"""",['Blacks are hypocrites'],['Blacks'],[],en,implicit_hate_v1_stg3_posts
42,""" oh yeah thats not white geocide at all . not anti white racist at all . imagine saying  """" raising black families is dangerous . """" """" """" """" ali families . """" """" """"""",['White people are not racist.'],['white people'],[],en,implicit_hate_v1_stg3_posts
43,""" no ! remember  hate means  """" white hate """" """"  racism means """" """" white racism """" """" & hillary is innocent no matter what . """"""",['non-white people are the real racists'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
44,""" no ! remember  hate means  """" white hate """" """"  racism means """" """" white racism """" """" & hillary is innocent no matter what . """"""",['minorities are racist'],['minorities'],[],en,implicit_hate_v1_stg3_posts
45,selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...,"['Blacks, northerners and jews pretend to be superior']","['Blacks, northerners and jews']",[],en,implicit_hate_v1_stg3_posts
46,selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...,['Jews are devious'],['Jews'],[],en,implicit_hate_v1_stg3_posts
47,no  not them . they're on the stupid side of the spectrum  but they're not vocal white power enthusiasts ( etc ) .,['White people are stupid.'],['white people'],[],en,implicit_hate_v1_stg3_posts
48,""" 15 of the 19 hijackers were saudi arabia.saudi arabia is our  """" ally """" """" """"""",['Arabians are criminals.'],['Arabians'],[],en,implicit_hate_v1_stg3_posts
49,""" 15 of the 19 hijackers were saudi arabia.saudi arabia is our  """" ally """" """" """"""",['Arabs are terrorists'],['Arabs'],[],en,implicit_hate_v1_stg3_posts
50,: and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is really paying,['Black athletes are paid too much.'],['black athletes'],[],en,implicit_hate_v1_stg3_posts
51,: and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is really paying,['Blacks get a free ride'],['Blacks'],[],en,implicit_hate_v1_stg3_posts
52,white people pretending to be blackfify,['White people want to be black.'],['white people'],[],en,implicit_hate_v1_stg3_posts
53,white people pretending to be blackfify,['white people have no culture'],['white people'],[],en,implicit_hate_v1_stg3_posts
54,mexicans have such strong family values and ' natural conservatism ' that when they replace us the abortion issue will be solved !,['Mexicans are morally weak.'],['Mexicans'],[],en,implicit_hate_v1_stg3_posts
55,mexicans have such strong family values and ' natural conservatism ' that when they replace us the abortion issue will be solved !,['Mexicans are good people.'],['Mexicans'],[],en,implicit_hate_v1_stg3_posts
56,and because of this  white americans are losing their home and country .,['Minorities are pushing out whites'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
57,and because of this  white americans are losing their home and country .,['White people are losing their homes.'],['white people'],[],en,implicit_hate_v1_stg3_posts
58,white people don't belong in civil,['Whites are heathens'],['Whites'],[],en,implicit_hate_v1_stg3_posts
59,white people don't belong in civil,['White people are outsiders.'],['white people'],[],en,implicit_hate_v1_stg3_posts
60,i am westgerman  rightwing but ill.mother dead.who can teach me jewish / babylonian magic ?,['Jews are devious'],['Jews'],[],en,implicit_hate_v1_stg3_posts
