text,text_implied,target,stereotype
"['"" rt  """" white privilege """" """" is when the gun jams of the gang banger trying to kill you . #fergusonoctober """"""']",['people in minority groups are all in gangs'],['minority groups'],[]
"['"" rt  """" white privilege """" """" is when the gun jams of the gang banger trying to kill you . #fergusonoctober """"""']",['Black people are violent'],['Black people'],[]
['if you are white in that state watch yourself !'],['non-white people are dangerous'],['non-white people'],[]
['if you are white in that state watch yourself !'],['White people are in danger.'],['white people'],[]
"[""so the 500 % increase in h1b visas ? yeah i'm sure that will win over voters .""]",['Immigrants are undesirable'],['Immigrants'],[]
"['"" rt antiwhites expose their hatred of white kids after seeing this picture . white child =  """" white supremacy """" """" """"""']",['Anti-whites hate white people'],['Anti-whites'],[]
"['"" rt antiwhites expose their hatred of white kids after seeing this picture . white child =  """" white supremacy """" """" """"""']",['Progressives despise whites.'],['Progressives'],[]
['capitalism  like communism  is an enemy of the white race .'],"[""Capitalists don't like white people.""]",['Capitalists'],[]
['capitalism  like communism  is an enemy of the white race .'],['Communists are threatening the white race.'],['Communists'],[]
['dems have also invented a vast black / white right wing nationalist uncle tom conspiracy  a 1000 legged centipede monster'],['Democrats are manipulative liars.'],['Democrats'],[]
"['"" more anti-jew hate from  """" nothing to do with islam """" """" """"""']",['Islamists hate Jews'],['Islamists'],[]
"['"" more anti-jew hate from  """" nothing to do with islam """" """" """"""']",['Muslims are anti-jews'],['Muslims'],[]
"['"" more anti-jew hate from  """" nothing to do with islam """" """" """"""']",['Muslims are anti-Jewish'],['Muslims'],[]
['pakistani sex-gang attacks covered up for fear of racism #swrm via'],['Pakistani people are dangerous.'],['Pakistani people'],[]
['pakistani sex-gang attacks covered up for fear of racism #swrm via'],['Pakistanis are rapists'],['Pakistanis'],[]
"['"" rt :  """" black lives matter & antifa can show up with mace  acid & baseball bats """" """" .. while your far right romp u """"""']",['BLM is violent.'],['BLM'],[]
"['"" rt :  """" black lives matter & antifa can show up with mace  acid & baseball bats """" """" .. while your far right romp u """"""']",['Black people are dangerous'],['Black people'],[]
"[""yo  c'mon back you little illegal aliens . we still got lots of us-born suckers we can smash out of line to make room""]",['Immigrants are inferior'],['Immigrants'],[]
"[""yo  c'mon back you little illegal aliens . we still got lots of us-born suckers we can smash out of line to make room""]",['Immigrants are illegally in this country'],['Immigrants'],[]
['in white power by rockwell  chapter called : nightmare  is coming true ! all out black on white war ! prepare now !'],['White people are better than other races.'],['white people'],[]
['in white power by rockwell  chapter called : nightmare  is coming true ! all out black on white war ! prepare now !'],['Black people are aggressors'],['Black people'],[]
['soon  white people will not be a majority anywhere . you believe'],['Minorities want to take over the world.'],['Minorities'],[]
['populist = american . so racist is code for anti-white  populist = american . as opposed to rentier transients .'],['racism towards whites'],['whites'],[]
"[""good ! man i'd hate to be a native born white in any of those cities .""]",['White people are in trouble.'],['white people'],[]
"[""good ! man i'd hate to be a native born white in any of those cities .""]",['Minorities are overrunning the cities.'],['Minorities'],[]
"[""it is like calling people a witch . one day white people won't fall for it""]",['White people are too smart to be fooled.'],['White people'],[]
"[""it is like calling people a witch . one day white people won't fall for it""]",['Minorities are dishonest'],['Minorities'],[]
['i like is explicitly pro-white . they are polite about it but they are pro-white . is also a good group .'],['Minorities are substandard people'],['Minorities'],[]
['i like is explicitly pro-white . they are polite about it but they are pro-white . is also a good group .'],['White people are friendly.'],['white people'],[]
"[""do you disavow all of these ? btw there's tons for every other race too besides blacks . if you don't disavow all of these you're anti-white""]",['Whites are racists'],['Whites'],[]
"[""do you disavow all of these ? btw there's tons for every other race too besides blacks . if you don't disavow all of these you're anti-white""]",['Minorities hold double standards'],['Minorities'],[]
"['"" hate crime hoax in austria : muslims set fire to their own business and leave  """" racist """" """" graffiti to mislead inve ... """"""']",['Muslims are violent.'],['Muslims'],[]
"['"" hate crime hoax in austria : muslims set fire to their own business and leave  """" racist """" """" graffiti to mislead inve ... """"""']",['Muslims are devious'],['Muslims'],[]
"[""you can't be pro white and pro jew  jews will hate you . but you can be pro jew and anti white and jews will adore you !""]",['Jews hate white people.'],['Jews'],[]
"[""you can't be pro white and pro jew  jews will hate you . but you can be pro jew and anti white and jews will adore you !""]",['Jews hate whites'],['Jews'],[]
"[""yes you are fine in a white majority country . how is mexico doing these days ? you people come here because you couldn't build it .""]",['White people can do more than Mexicans.'],['white people'],[]
"[""yes you are fine in a white majority country . how is mexico doing these days ? you people come here because you couldn't build it .""]",['Mexicans are incompetent.'],['Mexicans'],[]
['white identity is timelesa'],['non-white people are inferior'],['non-white people'],[]
['do you think those bars on the windows are to keep out all the white people ?'],['White people are dangerous.'],['white people'],[]
['do you think those bars on the windows are to keep out all the white people ?'],['Minorities are criminals.'],['Minorities'],[]
"['"" oh yeah thats not white geocide at all . not anti white racist at all . imagine saying  """" raising black families is dangerous . """" """" """" """" ali families . """" """" """"""']",['Blacks are hypocrites'],['Blacks'],[]
"['"" oh yeah thats not white geocide at all . not anti white racist at all . imagine saying  """" raising black families is dangerous . """" """" """" """" ali families . """" """" """"""']",['White people are not racist.'],['white people'],[]
"['"" no ! remember  hate means  """" white hate """" """"  racism means """" """" white racism """" """" & hillary is innocent no matter what . """"""']",['non-white people are the real racists'],['non-white people'],[]
"['"" no ! remember  hate means  """" white hate """" """"  racism means """" """" white racism """" """" & hillary is innocent no matter what . """"""']",['minorities are racist'],['minorities'],[]
['selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...'],"['Blacks, northerners and jews pretend to be superior']","['Blacks, northerners and jews']",[]
['selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...'],['Jews are devious'],['Jews'],[]
"[""no  not them . they're on the stupid side of the spectrum  but they're not vocal white power enthusiasts ( etc ) .""]",['White people are stupid.'],['white people'],[]
"['"" 15 of the 19 hijackers were saudi arabia.saudi arabia is our  """" ally """" """" """"""']",['Arabians are criminals.'],['Arabians'],[]
"['"" 15 of the 19 hijackers were saudi arabia.saudi arabia is our  """" ally """" """" """"""']",['Arabs are terrorists'],['Arabs'],[]
"["": and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is really paying""]",['Black athletes are paid too much.'],['black athletes'],[]
"["": and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is really paying""]",['Blacks get a free ride'],['Blacks'],[]
['white people pretending to be blackfify'],['White people want to be black.'],['white people'],[]
['white people pretending to be blackfify'],['white people have no culture'],['white people'],[]
"[""mexicans have such strong family values and ' natural conservatism ' that when they replace us the abortion issue will be solved !""]",['Mexicans are morally weak.'],['Mexicans'],[]
"[""mexicans have such strong family values and ' natural conservatism ' that when they replace us the abortion issue will be solved !""]",['Mexicans are good people.'],['Mexicans'],[]
['and because of this  white americans are losing their home and country .'],['Minorities are pushing out whites'],['Minorities'],[]
['and because of this  white americans are losing their home and country .'],['White people are losing their homes.'],['white people'],[]
"[""white people don't belong in civil""]",['Whites are heathens'],['Whites'],[]
"[""white people don't belong in civil""]",['White people are outsiders.'],['white people'],[]
['i am westgerman  rightwing but ill.mother dead.who can teach me jewish / babylonian magic ?'],['Jews are devious'],['Jews'],[]
['i am westgerman  rightwing but ill.mother dead.who can teach me jewish / babylonian magic ?'],['Jews practice witchcraft'],['Jews'],[]
"[""black human rights campaigners managed it in the 50s and 60s.no good reason white human rights campaigners can't .""]",['non-white people are inferior'],['non-white people'],[]
"[""black human rights campaigners managed it in the 50s and 60s.no good reason white human rights campaigners can't .""]",['Black people can do more than white people.'],['black people'],[]
['this is what these people took to america  sancho'],['immigrants add to America'],['immigrants'],[]
['kosher conservatives think money is the measure of everything . but more important than mere $ $ is the quality of'],['Jews are money grubbers'],['Jews'],[]
['kosher conservatives think money is the measure of everything . but more important than mere $ $ is the quality of'],['Jews are greedy.'],['Jews'],[]
"['"" so are all white americans going to be called  """" borderers """" """" now ? """"""']",['Progressives mischaracterize whites'],['Progressives'],[]
['lol . you will learn what it means to be white and proud of your race . or be jooish and face the consequences .'],['White people should be proud of their race.'],['white people'],[]
['lol . you will learn what it means to be white and proud of your race . or be jooish and face the consequences .'],['Jews are inferior'],['Jews'],[]
['as a true pro-white who refers to white people as inbred trash  you need to listen to my advice on how'],['White people are trash.'],['white people'],[]
['as a true pro-white who refers to white people as inbred trash  you need to listen to my advice on how'],['Whites are substandard'],['Whites'],[]
['the lgenpresse has never had any problem demonizing white america and celebrating criminals and terrorists and trying to silence us'],['non-white people are criminals'],['non-white people'],[]
['the lgenpresse has never had any problem demonizing white america and celebrating criminals and terrorists and trying to silence us'],['Journalists are dishonest liars.'],['Journalists'],[]
"[""extinction of america's white population speeds up via""]",['Immigrants are invading America'],['Immigrants'],[]
['muslims are always wanting to kill someone ! its their duty to kill the infidel .'],['Muslims are violent'],['Muslims'],[]
['muslims are always wanting to kill someone ! its their duty to kill the infidel .'],['Muslims are violent.'],['Muslims'],[]
['is zuma talking about seizing white land or not ? are you denying it ?'],['Blacks steal whites property.'],['Blacks'],[]
"[""i'm anishinaabeg from deshkan ziibi . goodnight white pride !""]",['White people are superior.'],['white people'],[]
"[""i'm anishinaabeg from deshkan ziibi . goodnight white pride !""]",['Minorities are substandard people'],['Minorities'],[]
"['"" proliferating anti-white agenda  """" """"""']",['Minorities are opposed to whites'],['Minorities'],[]
"["". there is dangerous power in using ' scientific ' findings to undermine gay marriage""]",['Gays are abnormal.'],['Gays'],[]
['i am now a white nationalist'],['Minorities are subpar human beings'],['Minorities'],[]
['estonia : 1000 white nationalists protest against non-white invasion | more : via'],"[""White people don't like non-white people.""]",['white people'],[]
['estonia : 1000 white nationalists protest against non-white invasion | more : via'],['Immigrants want absolute control'],['Immigrants'],[]
"['"" rt : how #jews feel about #whitepeople -  """" the white race is the cancer of human history . """" """" - jewess susan sontag #hate #israel # r ... """"""']",['jews hate white people'],['jews'],[]
"['"" rt : how #jews feel about #whitepeople -  """" the white race is the cancer of human history . """" """" - jewess susan sontag #hate #israel # r ... """"""']",['Jews hate white people.'],['Jews'],[]
['is currently leading the race for top #cuckservative on twitter'],['conservative men are not masculine'],['conservative men'],[]
['white people hate divesity but yet still go to non-white countries / continents . #dumblogic #hypocrites'],['white people are hypocrites'],['white people'],[]
['white people hate divesity but yet still go to non-white countries / continents . #dumblogic #hypocrites'],"[""White people don't like diversity.""]",['White people'],[]
['altrighters are already moving there . without legislation to force integration  all white / black areas are inevitable .'],['Blacks are low quality.'],['Blacks'],[]
"[""hold on  i got an even better one > 14 words my man . we got to secure the existence of our people and a future for white children > just not with those people . they're fat  low class . we're a better sort of racist than white trash > who are we ? a bunch of boomers ?""]",['non-white people are a threat'],['non-white people'],[]
"[""hold on  i got an even better one > 14 words my man . we got to secure the existence of our people and a future for white children > just not with those people . they're fat  low class . we're a better sort of racist than white trash > who are we ? a bunch of boomers ?""]",['White people are trash.'],['white people'],[]
['the kkk . how old does my little boy need to be to join ?'],['Minorities are inferior.'],['Minorities'],[]
['the kkk . how old does my little boy need to be to join ?'],['non-white people are inferior'],['non-white people'],[]
['unarmed white man murdered by police in tx . where was his white privilege ?'],['Minorities accuse whites falsely'],['Minorities'],[]
['unarmed white man murdered by police in tx . where was his white privilege ?'],['White people get killed.'],['white people'],[]
['you might be right about that  idk . i still think the movement would benefit from more love for our blood and less hate for non-whites .'],['Minorities are inferior to the white race'],['Minorities'],[]
['horrible . 9 year old white boy commits suicide after being tormented for months by racist arabs via'],['Arabs are evil and hate white people'],['Arabs'],[]
['horrible . 9 year old white boy commits suicide after being tormented for months by racist arabs via'],['Arabs torments White people'],['Arabs'],[]
[': black slavery only matters when it can be blamed on white southerners . or when it can make white sj'],['Black people are whiners'],['Black people'],[]
[': black slavery only matters when it can be blamed on white southerners . or when it can make white sj'],['Blacks are dishonest and devious.'],['Blacks'],[]
['are you a white person that looks  or a white person that helps ? a national-socialist acts with kindness & compassion'],['non-white people are inferior'],['non-white people'],[]
['are you a white person that looks  or a white person that helps ? a national-socialist acts with kindness & compassion'],['white people are good.'],['white people'],[]
['1up  are you seriously calling tucker carlsonna white supremacist ? you are way losing all credibility here  my friend . what are you trying to accomplish ? 1 ) spread hate & division among races  or 2 ) make america a better place for all children to grow up in and thrive ?'],['whites are racists'],['whites'],[]
['please forward to all known white patriots : 26 . 05 . 2012 . white unity gig with us  german  slovak and hungarian bands'],['White people need to unite.'],['white people'],[]
['please forward to all known white patriots : 26 . 05 . 2012 . white unity gig with us  german  slovak and hungarian bands'],['People of Color are an intrinsic threat to so-called white patriots.'],['People of Color'],[]
"[""she's another jew promoting adl / splc . she assisted in having jihad watch""]",['Jews are bad.'],['Jews'],[]
"[""she's another jew promoting adl / splc . she assisted in having jihad watch""]",['Jews want to wipe out the white race.'],['Jews'],[]
['the genocide of white america : 1980-2010 via'],['White people are dying out.'],['white people'],[]
['the genocide of white america : 1980-2010 via'],['Minorities are destroying the white race'],['Minorities'],[]
['whites are not allowed to work for their group interests .'],['non-white people are coddled'],['non-white people'],[]
['whites are not allowed to work for their group interests .'],['White people are restricted by other groups.'],['white people'],[]
"[""#howtospotafeminist their favorite colour isn't white .""]",['Feminists hate white people.'],['feminists'],[]
"[""#howtospotafeminist their favorite colour isn't white .""]",['feminists are racist'],['feminists'],[]
['inb 4 its ok to be white as long as youre also fine with anti white policies that displace whites'],['non-white people want to replace white people'],['non-white people'],[]
['inb 4 its ok to be white as long as youre also fine with anti white policies that displace whites'],['Progressive whites are racist to their own race.'],['Progressive whites'],[]
"[""he's vocally anti-white  he's not white  he advocates miscegenation and he's so much as admitted to raping women""]",['Non-white people are rapists.'],['non-white'],[]
"[""he's vocally anti-white  he's not white  he advocates miscegenation and he's so much as admitted to raping women""]",['non-white people dilute the gene pool'],['non-white people'],[]
['#gop can explicitly be the party of white christian america or it will die . it would rather die . #tcot'],['non-white people are a threat'],['non-white people'],[]
['#gop can explicitly be the party of white christian america or it will die . it would rather die . #tcot'],['Minorities are out to get whites.'],['Minorities'],[]
['i wish i could understand what makes some white people embrace their own extinction . are they sleepwalking ?'],"[""White people aren't paying attention.""]",['white people'],[]
['i wish i could understand what makes some white people embrace their own extinction . are they sleepwalking ?'],['Whites are self-destructive.'],['Whites'],[]
['no state has the right to redefine #marriage or allow labs to manufacture offspring of same-sex couple . tell congress to enact #nmra'],['Gays are abnormal'],['Gays'],[]
['poor snowflake white man . :('],['White people are snowflakes.'],['white people'],[]
['poor snowflake white man . :('],['White men are sensitive'],['White men'],[]
['why do hate crime laws only apply to white people ?'],['Minorities have double standards'],['Minorities'],[]
['why do hate crime laws only apply to white people ?'],['White people are unfairly discriminated against by the law'],['white people'],[]
"[""it's us white gentiles getting screwed ! :""]",['White people are disadvantaged.'],['white people'],[]
"[""it's us white gentiles getting screwed ! :""]",['non-white people oppressing whites'],['non-white people'],[]
['just another jewish think-tank with a paradoxical name . has nothing to do with heritage at all .'],['Jews are devious'],['Jews'],[]
['so you believe it is wrong for a white man to defend his own race ? do you believe that it i'],['non-white people are a threat'],['non-white people'],[]
['so you believe it is wrong for a white man to defend his own race ? do you believe that it i'],['Minorities attack whites.'],['Minorities'],[]
"['"" cuck is the new  """" racist """" """" or soon will be """"""']",['Conservatives are racists.'],['Conservatives'],[]
['racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) kyttjlt'],['Muslim immigrants assault whites'],['Muslim immigrants'],[]
['racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) kyttjlt'],['Muslims are attacking white people.'],['Muslims'],[]
"[""what's happening in south africa is awful and not one news station covers it""]",['media biased against South Africans'],['media'],[]
[': white people need to watch their backs . there is a war upon us .'],['Minorities are wiping out the white race'],['Minorities'],[]
[': white people need to watch their backs . there is a war upon us .'],['White people are in danger.'],['white people'],[]
"[""white skin is dominant phenotypically  last i heard . it's only socially that if you're not full-white you're considered tainted .""]",['Minorities are less than whites'],['Minorities'],[]
"[""using the enemy's anti-white hate propaganda . #wpww""]",['non-white people are oppressors'],['non-white people'],[]
"[""yup . race is real & we're not concerned with your race or other races . we are concerned with white growth & population .""]",['People of color are inferior to white people'],['People of color'],[]
"[""yup . race is real & we're not concerned with your race or other races . we are concerned with white growth & population .""]",['non-white people want to replace white people'],['non-white people'],[]
"['"" why ? when black pride / hispanic pride / asian pride / muslim pride / jewish pride / even  """" gay """" """" pri """"""']",['gay people want special treatment.'],['gay people'],[]
['the black community in america is resting on the pillars of state welfare and affirmative action produced white guilt .'],['Black people are lazy'],['Black people'],[]
['the black community in america is resting on the pillars of state welfare and affirmative action produced white guilt .'],['Black people depend on welfare.'],['black people'],[]
['the people leaving usa becuz racist trump all want canada  new zealand  never mexico  nigeria . who racist ?'],['Whites are racists'],['Whites'],[]
['i take pro-white perspective . thats where the battle lines are now drawn . you guys wanna re'],['Minorities are second class races.'],['Minorities'],[]
